Meeting title	Ask Me Anything
Attended participants	27
Start time	5/15/2026	1:00:00 PM
End time	5/15/2026	1:55:00 PM
Meeting duration	55m 0s
Average attendance time	47m 57s

2. Participants
Name	First Join	Last Leave	In-Meeting Duration	Email	Participant ID (UPN)	Role	Engagement: Reaction-Applause	Engagement: Reaction-Laugh	Engagement: Reaction-Like	Engagement: Reaction-Love	Engagement: Reaction-Surprised	Engagement: Camera On	Engagement: Raise Hands	Engagement: Unmute
Copilot Support Team	5/15/2026	12:55:00 PM	5/15/2026	1:57:00 PM	1h 2m 0s	copilot.support.team@acne.test	copilot.support.team@acne.test	Presenter	0	0	0	0	0	1	0	1
Microsoft Trainer	5/15/2026	12:58:00 PM	5/15/2026	1:59:00 PM	1h 1m 0s	microsoft.trainer@acne.test	microsoft.trainer@acne.test	Presenter	0	0	0	0	0	0	0	0
Wily D. Coydog (ACNE/ANVIL EMP)	5/15/2026	1:00:26 PM	5/15/2026	1:51:46 PM	51m 20s	wily.d.coydog@acne.test	wily.d.coydog@acne.test	Attendee	0	1	0	0	0	1	0	1
Cedric Tortoise (ACNE/ADMN EMP)	5/15/2026	12:59:17 PM	5/15/2026	1:54:40 PM	55m 23s	cedric.tortoise@acne.test	cedric.tortoise@acne.test	Attendee	0	1	0	0	0	0	0	0
Nana (ACNE/RKTW EMP)	5/15/2026	1:01:59 PM	5/15/2026	1:52:49 PM	50m 50s	nana@acne.test	nana@acne.test	Attendee	0	0	0	0	0	1	1	0
Bugz Rabbit (ACNE/CHASE EMP)	5/15/2026	1:00:19 PM	5/15/2026	1:50:06 PM	49m 47s	bugz.rabbit@acne.test	bugz.rabbit@acne.test	Organizer	0	1	0	0	0	1	0	0
Cortex (ACNE/BRAIN EMP)	5/15/2026	1:02:03 PM	5/15/2026	1:40:03 PM	38m 0s	cortex@acne.test	cortex@acne.test	Attendee	0	0	0	0	0	0	0	1
Wily D. Coydog Jr (ACNE/PROPS EMP)	5/15/2026	1:00:32 PM	5/15/2026	1:51:05 PM	50m 33s	wily.d.coydog.jr@acne.test	wily.d.coydog.jr@acne.test	Attendee	0	0	0	0	0	1	0	0
Street Sprinter (ACNE/ANVIL EMP)	5/15/2026	1:01:31 PM	5/15/2026	1:52:43 PM	51m 12s	street.sprinter@acne.test	street.sprinter@acne.test	Attendee	0	0	1	0	0	1	0	0
Babs Hare (ACNE/CHASE EMP)	5/15/2026	1:01:06 PM	5/15/2026	1:52:14 PM	51m 8s	babs.hare@acne.test	babs.hare@acne.test	Attendee	0	0	0	0	0	1	0	0
Priscilla Kittycat (ACNE/PAINT EMP)	5/15/2026	1:00:43 PM	5/15/2026	1:17:43 PM	17m 0s	priscilla.kittycat@acne.test	priscilla.kittycat@acne.test	Attendee	0	0	0	0	0	0	0	0
Priscilla Kittycat (ACNE/PAINT EMP)	5/15/2026	1:22:43 PM	5/15/2026	1:52:55 PM	30m 12s	priscilla.kittycat@acne.test	priscilla.kittycat@acne.test	Attendee	0	0	0	0	0	1	0	0
Bork E. Hog (ACNE/CHASE EMP)	5/15/2026	1:00:18 PM	5/15/2026	1:52:52 PM	52m 34s	bork.e.hog@acne.test	bork.e.hog@acne.test	Attendee	0	0	0	0	0	1	0	0
Farmstead Mutt (ACNE/PROPS EMP)	5/15/2026	1:01:30 PM	5/15/2026	1:50:32 PM	49m 2s	farmstead.mutt@acne.test	farmstead.mutt@acne.test	Attendee	0	1	1	0	0	0	0	0
Flask (ACNE/LABS EMP)	5/15/2026	12:59:13 PM	5/15/2026	1:50:17 PM	51m 4s	flask@acne.test	flask@acne.test	Attendee	0	1	0	0	0	0	0	0
Melvin Venusian (ACNE/ANVIL CTR)	5/15/2026	12:59:13 PM	5/15/2026	1:52:51 PM	53m 38s	melvin.venusian@acne.test	melvin.venusian@acne.test	Attendee	0	0	1	0	0	1	0	0
