Meeting title	Prompt or Agents: Intro to Agents
Attended participants	41
Start time	5/18/2026	1:00:00 PM
End time	5/18/2026	1:55:00 PM
Meeting duration	55m 0s
Average attendance time	43m 40s

2. Participants
Name	First Join	Last Leave	In-Meeting Duration	Email	Participant ID (UPN)	Role	Engagement: Reaction-Applause	Engagement: Reaction-Laugh	Engagement: Reaction-Like	Engagement: Reaction-Love	Engagement: Reaction-Surprised	Engagement: Camera On	Engagement: Raise Hands	Engagement: Unmute
Microsoft Trainer	5/18/2026	12:55:00 PM	5/18/2026	1:58:00 PM	1h 3m 0s	microsoft.trainer@acne.test	microsoft.trainer@acne.test	Presenter	0	0	0	0	0	1	0	0
Cedric Tortoise (ACNE/ADMN EMP)	5/18/2026	1:08:19 PM	5/18/2026	1:45:19 PM	37m 0s	cedric.tortoise@acne.test	cedric.tortoise@acne.test	Attendee	0	0	0	0	1	1	0	0
Bugz Rabbit (ACNE/CHASE EMP)	5/18/2026	1:01:42 PM	5/18/2026	1:35:42 PM	34m 0s	bugz.rabbit@acne.test	bugz.rabbit@acne.test	Organizer	0	0	0	0	0	0	0	0
Nana (ACNE/RKTW EMP)	5/18/2026	1:01:54 PM	5/18/2026	1:53:28 PM	51m 34s	nana@acne.test	nana@acne.test	Attendee	0	0	1	0	0	1	0	0
Cortex (ACNE/BRAIN EMP)	5/18/2026	1:00:05 PM	5/18/2026	1:54:56 PM	54m 51s	cortex@acne.test	cortex@acne.test	Attendee	0	0	0	0	0	1	1	0
Wily D. Coydog (ACNE/ANVIL EMP)	5/18/2026	1:16:00 PM	5/18/2026	1:18:26 PM	2m 26s	wily.d.coydog@acne.test	wily.d.coydog@acne.test	Attendee	0	0	0	0	0	1	0	1
Fuzzball (ACNE/BRAIN EMP)	5/18/2026	1:01:48 PM	5/18/2026	1:51:38 PM	49m 50s	fuzzball@acne.test	fuzzball@acne.test	Attendee	0	0	0	0	0	1	0	1
Pokeyboy Rodrigo (ACNE/JETPK EMP)	5/18/2026	12:59:58 PM	5/18/2026	1:52:00 PM	52m 2s	pokeyboy.rodrigo@acne.test	pokeyboy.rodrigo@acne.test	Attendee	0	0	0	0	0	1	0	0
Wisconsin K. Toad (ACNE/STUNT EMP)	5/18/2026	1:00:40 PM	5/18/2026	1:29:40 PM	29m 0s	wisconsin.k.toad@acne.test	wisconsin.k.toad@acne.test	Attendee	0	0	0	0	0	0	0	0
Melvin Venusian (ACNE/ANVIL CTR)	5/18/2026	1:06:14 PM	5/18/2026	1:42:14 PM	36m 0s	melvin.venusian@acne.test	melvin.venusian@acne.test	Attendee	0	0	0	0	0	1	0	1
