Meeting title	Prompting That Works
Attended participants	37
Start time	5/13/2026	1:00:00 PM
End time	5/13/2026	1:55:00 PM
Meeting duration	55m 0s
Average attendance time	42m 48s

2. Participants
Name	First Join	Last Leave	In-Meeting Duration	Email	Participant ID (UPN)	Role	Engagement: Reaction-Applause	Engagement: Reaction-Laugh	Engagement: Reaction-Like	Engagement: Reaction-Love	Engagement: Reaction-Surprised	Engagement: Camera On	Engagement: Raise Hands	Engagement: Unmute
MS Learning Facilitator	5/13/2026	12:57:00 PM	5/13/2026	1:56:00 PM	59m 0s	ms.learning.facilitator@acne.test	ms.learning.facilitator@acne.test	Presenter	0	0	0	0	0	0	0	0
Copilot Support Team	5/13/2026	12:56:00 PM	5/13/2026	1:57:00 PM	1h 1m 0s	copilot.support.team@acne.test	copilot.support.team@acne.test	Presenter	0	0	0	0	0	1	0	0
Bugz Rabbit (ACNE/CHASE EMP)	5/13/2026	1:00:37 PM	5/13/2026	1:52:42 PM	52m 5s	bugz.rabbit@acne.test	bugz.rabbit@acne.test	Organizer	1	0	0	0	0	1	0	0
Wily D. Coydog (ACNE/ANVIL EMP)	5/13/2026	1:00:08 PM	5/13/2026	1:54:27 PM	54m 19s	wily.d.coydog@acne.test	wily.d.coydog@acne.test	Attendee	0	1	1	0	0	0	1	0
Cedric Tortoise (ACNE/ADMN EMP)	5/13/2026	1:00:03 PM	5/13/2026	1:50:13 PM	50m 10s	cedric.tortoise@acne.test	cedric.tortoise@acne.test	Attendee	0	0	0	0	0	1	0	0
Cortex (ACNE/BRAIN EMP)	5/13/2026	1:01:52 PM	5/13/2026	1:25:52 PM	24m 0s	cortex@acne.test	cortex@acne.test	Attendee	0	0	0	0	0	1	0	1
Nana (ACNE/RKTW EMP)	5/13/2026	1:10:00 PM	5/13/2026	1:52:06 PM	42m 6s	nana@acne.test	nana@acne.test	Attendee	0	0	0	0	0	0	0	0
Henry Falcon (ACNE/PROPS CTR)	5/13/2026	1:16:00 PM	5/13/2026	1:18:38 PM	2m 38s	henry.falcon@acne.test	henry.falcon@acne.test	Attendee	0	0	0	0	0	0	0	0
Wily D. Coydog Jr (ACNE/PROPS EMP)	5/13/2026	1:01:15 PM	5/13/2026	1:55:00 PM	53m 45s	wily.d.coydog.jr@acne.test	wily.d.coydog.jr@acne.test	Attendee	0	0	0	0	1	1	0	0
Lulu Hare (ACNE/CHASE CTR)	5/13/2026	12:59:20 PM	5/13/2026	1:54:17 PM	54m 57s	lulu.hare@acne.test	lulu.hare@acne.test	Attendee	0	0	2	0	0	1	1	0
Priscilla Kittycat (ACNE/PAINT EMP)	5/13/2026	1:01:35 PM	5/13/2026	1:51:24 PM	49m 49s	priscilla.kittycat@acne.test	priscilla.kittycat@acne.test	Attendee	1	1	0	0	0	0	0	0
Salvador Housecat (ACNE/BOOM EMP)	5/13/2026	1:24:00 PM	5/13/2026	1:54:30 PM	30m 30s	salvador.housecat@acne.test	salvador.housecat@acne.test	Attendee	0	0	0	0	0	0	0	0
Hamilton Boar (ACNE/PROPS EMP)	5/13/2026	12:59:08 PM	5/13/2026	1:52:11 PM	53m 3s	hamilton.boar@acne.test	hamilton.boar@acne.test	Attendee	0	0	0	0	0	1	0	0
Bugz Rabbit Sr (ACNE/TOPS EMP)	5/13/2026	1:06:56 PM	5/13/2026	1:32:56 PM	26m 0s	bugz.rabbit.sr@acne.test	bugz.rabbit.sr@acne.test	Attendee	0	0	0	0	0	0	0	0
